,0
0,4.038023801842263
1,5.924055980986006
2,21.686111496663873
3,16.74457682047815
4,19.070648144852406
5,18.84180534506963
6,17.775930525394
7,24.784697221817684
8,17.56410951205804
9,5.863394039469727
10,7.879443580615974
11,10.201668453285825
12,11.91762940781918
13,13.199045034063356
14,13.753699161152214
15,11.806178310715246
16,13.691487650778809
17,14.279266470222044
18,15.339907801552467
19,17.5762837748869
20,18.52079447392217
21,20.64631971998194
22,20.708610118948613
23,19.81454437179277
24,18.974952235654435
25,19.170232706466447
26,19.780124883866247
27,21.043131928578106
28,22.49364165832203
29,24.54612920584
30,25.641216595229047
31,26.183298465584638
32,26.522401903656064
33,26.58188624879338
34,26.13944375706438
35,25.56216531171471
36,25.200309760228784
37,25.119628742474426
38,26.012820614327165
39,27.594770972456683
40,28.930818260678283
41,29.785308500691844
42,29.848939434179147
43,29.493031044046617
44,28.93397546329105
45,28.523406718550536
46,28.466591104033956
47,28.865933193944265
48,29.3951190297364
49,29.688024237086044
50,30.052972353459918
51,30.15343557308568
52,30.237490960470097
53,30.26963322211284
54,30.278766968512024
55,30.35895167901254
56,30.27867485423661
57,30.254283680609372
58,30.303414155925598
59,30.44444624744277
60,30.483880749970435
61,30.67039377610822
62,30.75689863905331
63,30.77821585547976
64,30.769725104675256
65,30.711420869458603
66,30.72147707085772
67,30.74337563104336
68,30.806554216931517
69,30.854609206258687
70,30.8432606545561
71,30.853766948935696
72,30.839405269057885
73,30.856155441232143
74,30.902382673766365
75,30.929317471713716
76,30.929755345300837
77,30.938217973104273
78,30.922785203201034
79,30.913742853642155
80,30.92570012080424
81,30.93463745847592
82,30.94638690409269
83,30.96517748498887
84,30.9664626247483
85,30.966456789121143
86,30.96977067031318
87,30.9699516868869
88,30.97568724431635
89,30.976603824108516
90,30.973796144067624
91,30.9736315713002
92,30.977003507874052
93,30.985326208208264
94,30.988759779752304
95,30.99314018064783
96,30.992889048986058
97,30.99243854307431
98,30.9892946910122
99,30.985196741959882
