,0
12,"[100.17296267562529, 194.94030560909823, 179.39586472494437, -158.15239655411003, 55.59472964786137, -206.77390178545093, -105.31108578294311, -139.83645113650442, -176.27883371156756, -226.26167378961205, 167.8857424336638, 197.794270202181, 5.110615372310789, 168.0598044475874, -86.6520786114973, -164.01691048036759, -18.951466515204594, -10.887676243780518, -95.16223335616107, -195.87067789416943, -68.74550286104258, 128.23444412766878, -176.55994718774787, 198.8879661907528, 148.9911575977532, 29.125561145714084, -69.99649489443092, -105.88447785727733, -42.17407875386326, 51.90924143085712, 143.59191124391262]"
13,"[100.39431661735452, 193.79239761156822, 180.26946601371975, -157.53698745098214, 56.13807816755798, -207.2274286363287, -105.91208471870254, -138.8378604276977, -175.74218915291334, -226.65308152972614, 167.42234508734424, 198.6642119295201, 5.822672764141245, 167.5737616874809, -87.77023948923124, -163.89559841640565, -20.833686242121637, -10.46612524060717, -94.50738190995152, -196.34931205974434, -70.0166287633592, 128.28402482967314, -175.89635271309083, 197.41892981507516, 150.0573881294121, 30.710645838429024, -68.82411600312248, -105.32024051861026, -42.39195498448487, 51.517900787823194, 142.34791926565345]"
14,"[100.59865971359056, 192.73788772018526, 181.4564471655098, -157.27647627980397, 56.54040935707376, -207.98665073234088, -106.7783874479137, -138.39379593596937, -175.36392967794316, -226.19451712806, 167.66635128321334, 199.42516525556525, 6.246583487582896, 167.19596979625953, -88.67398496388256, -163.66091800241486, -21.054737318307467, -10.359148204433431, -94.45411178652566, -195.51030350555004, -70.92257877412142, 128.2790815217281, -175.6084623902691, 196.32723731259165, 151.39613459748935, 32.41685428418829, -68.58782621507305, -105.26716823466009, -43.631524068057175, 49.97804613209411, 141.50875327425342]"
15,"[100.50898746752462, 192.38667857965527, 182.78886248288234, -156.52573518869016, 57.2444068214094, -208.30969177754278, -107.8315857821288, -137.97299958127564, -175.38114591594882, -226.18784135939057, 168.32766076868123, 200.73652786060933, 6.546371283951956, 167.82226341921452, -89.29608323044519, -163.45992349414328, -21.01506438608137, -10.91151389645212, -94.15295244771937, -194.56274642074675, -71.70851527100535, 128.2190463931977, -175.08710591489125, 194.73711542344392, 151.63340954209747, 32.978805641900266, -68.56877761221192, -106.16539309191569, -44.512268292029226, 49.18003437975867, 141.30075631660998]"
16,"[100.76283293750905, 191.69514867858447, 183.81860993452648, -156.4130207541503, 57.50879009628755, -208.38275793206378, -108.24699179835454, -137.64577813925882, -175.27602880502576, -226.32623411700166, 169.18509195260896, 202.1814078943811, 6.683126975018773, 168.6195093728169, -89.7112076980681, -163.16480454261688, -20.17381666202401, -12.484659831445391, -93.97138849559022, -193.67750408051998, -71.97217998415576, 127.84451818696331, -175.07789987346632, 193.34336936241834, 150.83014014646307, 33.0254178649823, -68.6240650064118, -107.72187904131674, -45.323056807738816, 48.42898803020632, 140.60454277459974]"
17,"[100.73694467799893, 191.26455825933164, 184.05224600756623, -156.3349176858598, 57.289992138884124, -207.66967018042567, -108.64929815158689, -137.32898891478817, -175.60312015846367, -226.04023671242035, 170.12479571532913, 202.40888797485815, 6.781759047674221, 170.2093479859532, -89.64644070082002, -163.27483047911767, -18.943812877139457, -13.826074570283772, -93.65117071905101, -193.97173595767197, -72.08359736593977, 127.64658331124281, -175.29915338449288, 192.98058445644298, 150.00551147860313, 31.84429684232616, -69.31664198242973, -107.90312598015299, -45.69607498787593, 48.93800869560127, 139.75702637768086]"
18,"[100.35624442752422, 191.01795478594568, 184.38128220433381, -156.33935687948247, 57.383262668402544, -207.09305468419282, -108.54961744744601, -137.20971989205208, -175.90094125099654, -225.88503532494065, 171.17154213522932, 203.05958045882022, 6.775523301555943, 170.95042861055654, -89.47760774972522, -162.7977973387244, -17.218287781884364, -13.742489696574637, -93.74870763983478, -194.89047781660437, -72.29470710265727, 126.66217117842999, -175.86275576995797, 193.2799177812361, 150.53786936435398, 30.74483156993389, -69.63703213998784, -107.22582013144783, -45.63907988930863, 49.53020496988187, 138.65104893152977]"
19,"[100.40049440660394, 190.64693773220768, 184.48676678807806, -156.54230530834946, 57.21903311424545, -206.38297264046923, -108.2410037898066, -137.20962917745373, -175.8659261083135, -225.85096559218402, 171.51852429978845, 202.9315670416808, 6.675334178012321, 171.59855161657333, -89.13186190823129, -163.0372039316095, -16.55746731747366, -13.568696883936035, -93.97267330742032, -195.1760759401563, -72.8045128415374, 126.0335234064106, -176.14355559125414, 194.01779833982266, 151.5068082906185, 30.224382587781154, -69.60212907329911, -106.89772750320176, -45.012017416454604, 50.82191298490656, 137.6948123593672]"
20,"[100.94671919957082, 189.73584979011213, 183.9387380346049, -156.6315653619218, 56.7328009628054, -206.1801384215701, -108.09860891125496, -137.357803144115, -176.45633973357238, -225.76690045362272, 171.43490794043015, 202.791892924279, 6.463354698232074, 171.6178576439317, -88.74673261814095, -163.0065226920247, -16.302960063699246, -12.305984917455, -94.38563822434521, -195.22176472737482, -73.27257970775858, 125.29825740912311, -176.22585031560575, 195.34951073906456, 152.000438687512, 30.385548312607458, -69.18500570918877, -106.00808948754715, -44.71834317509635, 51.50644121356692, 136.8502961752813]"
21,"[101.30281717675746, 188.7165513897403, 183.60515059702723, -156.72111335019045, 56.228031486002294, -205.824439734201, -107.3663251384744, -137.70373370647854, -176.17561668671544, -225.94444071606864, 171.2017708847162, 202.72382567451845, 6.675606581772108, 171.5336143579856, -87.83103485163788, -162.87134850579454, -16.27415087065004, -11.213617458983485, -94.21179185494034, -194.53069825264086, -73.59228681748236, 124.83425151933847, -176.12421456112887, 196.64140144892022, 151.9143501484791, 30.953981707512035, -68.48912821640604, -105.30130100629543, -44.27896954895472, 52.33879203392799, 136.27233813525882]"
