,0
44,"[101.03925991572245, 188.78215149934474, 182.73148432826574, -156.5730776099043, 56.950584588877106, -206.5675763242455, -106.23503439793849, -137.6587248628735, -174.9187219992795, -225.1445413262138, 170.25622479471812, 202.04441769647738, 7.078160736762584, 170.28391221171827, -87.10092487322123, -162.23525342199758, -18.132493915726307, -11.925902359553113, -92.95361979067387, -194.23524290852464, -74.8152021975113, 125.95075163694693, -175.11212188590932, 194.88779631052742, 151.19737597753357, 31.712237402632333, -68.30695982293979, -106.41678126058164, -43.12734203498355, 50.62100529442415, 133.52071033819223]"
45,"[100.90322151194309, 188.72728437990602, 182.5953085153776, -156.51667329242565, 57.00730918273074, -206.55794655621548, -106.08686119245954, -137.7550753735296, -174.85869288200757, -225.34622001909605, 170.32000692435935, 201.98761254263349, 7.240861732715999, 170.3310235104625, -86.88741103082339, -162.33275365052015, -18.02364497987037, -11.818156814738778, -93.17278101798883, -194.0221924867404, -75.00272944201163, 125.80536444469303, -175.00248685859657, 194.68125631522506, 151.39783681534612, 31.47109047430844, -68.61552081279928, -106.36810228429565, -42.96054201783635, 50.488308438964566, 133.71643445113068]"
46,"[100.90876452764057, 188.50572472675927, 182.6468884901079, -156.49127889667741, 57.05154231415257, -206.75156071013112, -106.01686840790052, -137.65834384001528, -174.83629131457917, -225.44489267089102, 170.39537716469567, 201.84680724216076, 7.264920801646241, 170.3139285875931, -86.82973473138892, -162.34328583568998, -18.050690325534305, -11.739245620801896, -93.33419865588081, -193.9490069268398, -75.0141182729331, 125.68833834457173, -174.89450662985647, 194.70763073167632, 151.59373821088815, 31.336068168374744, -68.78559040060969, -106.31204076475144, -42.86355696961005, 50.39549929954409, 133.80713132906544]"
47,"[100.98915366537997, 188.49460076319792, 182.47988782180605, -156.31832409195303, 57.04359641794853, -206.79031244900239, -105.86455827376639, -137.7213354623517, -174.88551107869574, -225.70309492835125, 170.40084357231063, 201.7110642958749, 7.172793312662087, 170.33177170308832, -86.6258985463149, -162.58329179680243, -17.99651868319686, -11.870907340287175, -93.50443531873636, -193.7953237524694, -75.05521691385266, 125.71678261651485, -174.89514308792232, 194.8412768954407, 151.74100887138647, 31.370845247288074, -68.94745253858783, -106.17189418866869, -42.756597453063655, 50.38337157165727, 133.724585468782]"
48,"[101.08407391317915, 188.58717912513114, 182.57599776504497, -156.25419775441685, 57.165077167663824, -206.71820821207228, -105.7933022817135, -137.62046470422132, -174.93618641066038, -225.86125529938263, 170.45840684523785, 201.57821471601653, 7.278617276570593, 170.43356046677434, -86.65327071542808, -162.6610771333469, -17.986552822700077, -11.75965862917404, -93.60638752042445, -193.90663955545284, -75.11739379000551, 125.62392236097241, -174.94582941242194, 195.11342759164555, 151.73639163190387, 31.612491150064802, -68.94124410532271, -106.08841153200223, -42.70116495817246, 50.46324000491252, 133.5751556643936]"
49,"[101.05587541652412, 188.62960466115427, 182.69105292520922, -156.33868123298674, 57.16040653035609, -206.78958741321424, -105.72585426666049, -137.58391976509373, -174.97163141653644, -225.8123121290672, 170.4615863074513, 201.47497438077568, 7.12779417471171, 170.3281143651127, -86.69525428385347, -162.88280883102425, -18.00315628314607, -11.720256777623966, -93.86638082685084, -193.9014178182971, -75.14507427840701, 125.78263367844067, -174.9507810420598, 195.42188227955057, 151.64743852305244, 31.829419421025484, -68.88674938639758, -105.94586287862884, -42.6998164712667, 50.647324588464905, 133.32943843444497]"
50,"[101.17536538670478, 188.7766142205753, 182.69803369122042, -156.29775893574703, 57.27016246213084, -206.78468924657963, -105.74407355890088, -137.62447334137292, -175.07076070322776, -225.95945014761145, 170.46112647492177, 201.46686674985548, 7.12251674793017, 170.4017470241892, -86.72569496064438, -162.96033578757672, -18.153137694983307, -11.875740455017343, -93.976616033433, -193.99732404623023, -75.11285187504751, 125.78083743829083, -174.99074086916738, 195.75147156236812, 151.55111166311116, 32.11793915780483, -68.7976772782323, -105.92332583728393, -42.750372087968046, 50.75659289565352, 133.09177216514632]"
51,"[101.36849108452573, 188.90575343294807, 182.81067484303327, -156.2785802421302, 57.32459981329022, -206.78726416498552, -105.6800345248283, -137.55616783153883, -175.20244090089943, -225.83256935177667, 170.39745780529606, 201.4473492074739, 7.03648225402393, 170.27882024658044, -86.79407358540871, -162.95457490176943, -18.323795525958083, -11.941728515209768, -93.99989788863886, -194.17807875169694, -74.97607604975305, 125.98006678902411, -175.10729297464877, 195.911212759067, 151.33377092236685, 32.446589168058935, -68.71200690931647, -106.01325787314488, -42.920986525714554, 51.05055952495525, 132.75187987938347]"
52,"[101.40731719246416, 189.06365022289756, 182.88714367873501, -156.28263926661563, 57.34025012274151, -206.78531022946748, -105.7104204145087, -137.50337466642713, -175.30079785665595, -225.69945283052354, 170.39233947718307, 201.4550214817786, 6.984504825587351, 170.2720698268709, -87.01700267368412, -163.04650659882975, -18.27960299452193, -12.039655417780885, -94.05205675941593, -194.2549773994896, -74.90311758671666, 126.12197940978004, -175.21264634701456, 195.96392524880625, 151.25029301973046, 32.5700625210433, -68.54774345176551, -106.02687755695145, -42.96773521801488, 51.15469109270515, 132.48461988207697]"
53,"[101.43725554792108, 189.2115020937961, 182.89499973979812, -156.33702370967444, 57.38748699275063, -206.76801497905532, -105.80081654152045, -137.51970257029376, -175.42469854264976, -225.6175191139079, 170.36169865712006, 201.4403729369177, 6.886707573301301, 170.2870999606718, -87.08108868477055, -162.94516521657516, -18.341245826313468, -11.963596259940118, -93.92273283375351, -194.25584708616077, -74.78959392675245, 126.26034618355263, -175.26712886944802, 195.95863944534864, 151.26820295738182, 32.63239316108327, -68.34217493531904, -106.07418881604352, -43.2169223928264, 51.29916549771868, 132.2201904008574]"
54,"[101.43764602879592, 189.2769422293124, 182.95624055936418, -156.37147812753489, 57.401016298103194, -206.72864590378416, -105.88274132613674, -137.52539937604868, -175.45891574998197, -225.51894672749032, 170.22917286238896, 201.57106549995228, 6.87615730417572, 170.25492014502493, -87.20342424919157, -162.89669486387984, -18.333591366416236, -12.002522444248996, -93.79369549908282, -194.2844945623787, -74.73384687298051, 126.3811228788316, -175.36697826648594, 195.88432481524208, 151.34054914662946, 32.6141692113631, -68.21888753329125, -106.13806937731891, -43.28317403370631, 51.37522229252329, 132.05210112559763]"
55,"[101.39245403455591, 189.440649646053, 183.07324150920397, -156.4047367843995, 57.379775465942004, -206.70121619792457, -105.99318101682826, -137.43446947149454, -175.50138596098424, -225.41972044584733, 170.22599438454796, 201.52109204316395, 6.791780357171433, 170.22513963149208, -87.32145514883213, -162.8423231597548, -18.30261138337007, -11.933440961994535, -93.69790700813971, -194.22435560855325, -74.61405410712487, 126.50715456858441, -175.4236181420943, 195.72354977194533, 151.4613756392355, 32.44905872900643, -68.14926348873462, -106.20126152491542, -43.44188713175066, 51.307539402429065, 131.90082884227124]"
56,"[101.24990580370684, 189.49730755347738, 183.03240672342667, -156.33937031371494, 57.37610575365189, -206.65967459544547, -106.09655169906598, -137.41376849962924, -175.49102377726155, -225.38928103792776, 170.1883285789071, 201.6781847013159, 6.7480772602758705, 170.31042140200213, -87.47762721006188, -162.7122791271229, -18.243927275492624, -11.923888898853441, -93.57944622089884, -194.15080055755863, -74.6119456791494, 126.61020866324876, -175.43517167123733, 195.50250349891382, 151.57085888298184, 32.25463714165295, -68.07031321378088, -106.20957115409674, -43.499856989935125, 51.201573042602035, 131.88283949463]"
57,"[101.2182269052676, 189.54733616198652, 183.03849813964953, -156.42131598312983, 57.40138075533199, -206.5264481256212, -106.20224104439546, -137.4221541508208, -175.4679382120631, -225.32491744473066, 170.2534998893303, 201.6819913015299, 6.7664725846951725, 170.34702151460533, -87.52447704992748, -162.73017972393646, -18.176837059825175, -11.922836516576417, -93.44478620821758, -194.0605727129908, -74.46418244236335, 126.7027739081455, -175.46728159991864, 195.28826141022668, 151.59091341468113, 31.986122782895226, -68.04509165655784, -106.18535783642972, -43.60443985612893, 51.14575980347578, 131.9587725423062]"
58,"[101.10659907016226, 189.57283355848205, 183.05436654115002, -156.43715147796718, 57.34000704125761, -206.50449188805038, -106.29662110069566, -137.4751567468321, -175.4415402970414, -225.24279719401346, 170.20231624531502, 201.71837617202033, 6.747874384849517, 170.37168135467678, -87.6245513099093, -162.63500017094208, -18.14113060176698, -11.818177510912747, -93.39496828821501, -194.01721954088424, -74.46606285607652, 126.73372308821382, -175.4150341719262, 195.12000933292364, 151.64455344404433, 31.861130179928626, -68.18378682283631, -106.1950184660389, -43.67863475556411, 51.04387265418475, 132.13146532168432]"
59,"[101.00776462345664, 189.4935364002347, 183.044029171767, -156.45149085725942, 57.314512150448195, -206.50888701828043, -106.30655788118696, -137.5151982431684, -175.36498607861506, -225.3088866930794, 170.30651070988011, 201.86757741685386, 6.796471642754973, 170.34571830722763, -87.62032139389385, -162.64688689708044, -17.992796733712275, -11.778967580766313, -93.3416256817185, -194.00812611082682, -74.47227173898051, 126.74210994876087, -175.43320242981753, 195.06314994345712, 151.5873118310589, 31.742628200314048, -68.27212612919061, -106.15305362326541, -43.68360310375024, 50.834501623223055, 132.269311822901]"
60,"[101.03533486804238, 189.45753275050998, 182.99014319076676, -156.45289062519137, 57.25253659038272, -206.56299465397873, -106.40758732858146, -137.51590085406485, -175.33548325393272, -225.37391736937496, 170.33293726560714, 201.87133832887304, 6.876170482311551, 170.38616291125143, -87.65770175093925, -162.521581383837, -18.02246486134407, -11.78576987598229, -93.31523619558826, -193.96751463753674, -74.48908387455305, 126.63133912672927, -175.35744879846848, 195.12175290539872, 151.50412806239305, 31.71119103407445, -68.40141612082004, -106.16385316731888, -43.59128356327396, 50.7496825248253, 132.41087556047705]"
61,"[101.08496020734736, 189.38539409114873, 183.00714091785872, -156.36775258500407, 57.25069708543595, -206.52296286772065, -106.40591575024865, -137.498830071354, -175.28386915522674, -225.41717431875963, 170.3834259957448, 201.975258908073, 6.961222309093074, 170.3597975164152, -87.61017252807187, -162.51711217040014, -18.009102438778072, -11.827851270161815, -93.25650404426632, -193.9860916030545, -74.52987680135675, 126.65510085832408, -175.37782913622198, 195.17879808142928, 151.3937215748941, 31.75941624835311, -68.53768838375458, -106.1411037511474, -43.62493122309509, 50.70481899035945, 132.70526626432147]"
62,"[101.160099471345, 189.268181161585, 182.92674586772856, -156.42464467668069, 57.18485685289738, -206.62097856373103, -106.37387064994172, -137.54801385799888, -175.21299443120643, -225.4960735943015, 170.352761708984, 201.9444551058293, 6.972065791883296, 170.37028899504224, -87.52003682402483, -162.4947625736233, -18.059970967114083, -11.888967591153481, -93.34613603351129, -194.0629594412822, -74.56738461002627, 126.59602626529748, -175.27892160709442, 195.28898594474444, 151.3412475205382, 31.87599851636656, -68.55570162702762, -106.20222042272346, -43.51094305517179, 50.65919057938737, 132.87579472144427]"
63,"[101.19854644806242, 189.17845932524432, 182.90438896859465, -156.41514928221818, 57.14754031483274, -206.6805791136311, -106.37400906338084, -137.58128421883086, -175.16872984941665, -225.5897083699356, 170.38437633222074, 201.91149179267603, 7.0269868618952955, 170.36916600211407, -87.46338421722984, -162.5400053782659, -18.13504135976485, -11.906954672108682, -93.43965572753325, -194.10260517872902, -74.60395004048726, 126.49119794941106, -175.2258033182723, 195.42639301407883, 151.35176540272388, 32.019792368860735, -68.66656516005872, -106.11968174915404, -43.47492629634636, 50.73388260213434, 132.9681714432664]"
64,"[101.22085920558172, 189.124665000279, 182.85093596824558, -156.42445326873147, 57.134696123253086, -206.73306656961472, -106.33358823796007, -137.57293020940358, -175.14420338146826, -225.60671675194519, 170.36615354902526, 201.85038461237838, 7.030772278182667, 170.32022423160157, -87.39076994282078, -162.55249457280198, -18.18804749814492, -11.924074733732617, -93.50462751233744, -194.11844388770936, -74.68080373275276, 126.41134479488998, -175.24037987054825, 195.5526306539261, 151.3965675573872, 32.1955956211949, -68.66730056008166, -106.10163014147602, -43.368035177647634, 50.749586294528505, 133.060142293603]"
65,"[101.26001866378476, 189.06677551395268, 182.8129815059165, -156.43921334735617, 57.11193012958198, -206.72024052024193, -106.26640654118046, -137.6359430298115, -175.13932964522726, -225.61314218216575, 170.35202254393494, 201.84033035953723, 7.028647752968645, 170.26071152842397, -87.31543767453104, -162.60801232757638, -18.263145265671184, -11.96545251155051, -93.60125924308502, -194.14993625726996, -74.73251532441813, 126.3623576588881, -175.1717723823601, 195.68380262886984, 151.47288629099654, 32.289757013911554, -68.62230935843466, -106.0846174867801, -43.25333113897823, 50.88023391421681, 133.06984863520628]"
66,"[101.31819268978558, 189.01119080844194, 182.7655989197519, -156.4124641857365, 57.167233008340844, -206.75967501754354, -106.22876407157658, -137.59375074061606, -175.12519600136696, -225.65251237800987, 170.3607170599885, 201.81284112737933, 7.071599031179531, 170.30634524432523, -87.27426509982399, -162.6532638418865, -18.32038683939706, -11.912473141219039, -93.68641423409858, -194.16608429126364, -74.79422270903484, 126.23614785962327, -175.12418963832408, 195.74694936882452, 151.53152947500578, 32.36523126555893, -68.58479457232491, -106.08050947116715, -43.1695567328596, 50.99197178147912, 133.04598736003456]"
67,"[101.32702803473455, 188.97202312603847, 182.75233612046966, -156.41242105478548, 57.122864525571195, -206.76171337524346, -106.15471528498229, -137.61802402488928, -175.13251278304753, -225.6764360967686, 170.3709953999949, 201.7944462914739, 7.065962365323067, 170.32785603890028, -87.18823720545964, -162.677945288888, -18.291892984943203, -11.905889333099076, -93.69979289994114, -194.20775603714617, -74.81534091818415, 126.1738710874698, -175.11632131718125, 195.731074444206, 151.58677390408872, 32.357526986650896, -68.55677974386779, -106.11112538281007, -43.15059096699241, 51.017362315370775, 132.94041088716307]"
68,"[101.31733593826976, 188.9301245152211, 182.81028659645628, -156.4096916484402, 57.12556285603029, -206.79730636696544, -106.11945675812122, -137.5897679609746, -175.1196467415502, -225.57699120330403, 170.36810440468113, 201.76311689037706, 7.088178076946235, 170.31636307150205, -87.12107589594024, -162.70811929268606, -18.24604358306766, -11.92401991946965, -93.7553387540761, -194.1883460697029, -74.84558142696596, 126.114943810433, -175.14673048423379, 195.6317523572698, 151.59425728043965, 32.321711061520375, -68.45064642919425, -106.15308653888013, -43.095077872817974, 51.083146891083075, 132.86543070177905]"
69,"[101.28297682155153, 188.95232000394913, 182.79132923626497, -156.39078440956052, 57.15302713012779, -206.73397630534453, -106.10669738872244, -137.58417302781805, -175.16317220694344, -225.56011118079965, 170.3162844336929, 201.73208672070854, 7.059410023264768, 170.26606664471151, -87.08302828995599, -162.80092709451822, -18.2384420738642, -11.873829457049176, -93.76459106821788, -194.13319212228686, -74.8648519998626, 126.13171962613188, -175.1238427670866, 195.56040389216645, 151.54606419126915, 32.233983899700455, -68.3756352668194, -106.13292722251221, -43.10389793122433, 51.083918349775324, 132.72605064704638]"
70,"[101.19919887841814, 189.03522241229442, 182.84365918014018, -156.42270267742407, 57.14349556411283, -206.64670394323434, -106.01574145438556, -137.57295688101595, -175.25006292243577, -225.5080329301726, 170.28033604460697, 201.72594594977505, 7.013825352428071, 170.26361065001456, -87.06057001732167, -162.74287959810553, -18.18452183485548, -11.880961164675092, -93.72588819622752, -194.07319415837028, -74.8647053906545, 126.11609323743116, -175.14127036562041, 195.47181894218744, 151.49974436644538, 32.14011560100998, -68.34117742571482, -106.1385262932063, -43.119045179830096, 51.11289052360257, 132.6164551206259]"
71,"[101.15893972868867, 189.05151148109258, 182.83980120299753, -156.3651199633782, 57.21465696346933, -206.6660333943681, -105.97908931488534, -137.57505827732487, -175.21983734122583, -225.49527694747675, 170.3175137439803, 201.65299264253377, 7.02536462918011, 170.34797818691723, -87.13236247491494, -162.78917309044522, -18.124122241920546, -11.803217302001705, -93.66292103188437, -194.01821794577688, -74.83359588707229, 126.14869700966943, -175.19168336352445, 195.38072381684367, 151.42197965366393, 31.992507225722935, -68.28166898992063, -106.13809452690805, -43.10953562682998, 51.12965236305424, 132.46691155600934]"
72,"[101.15301926548565, 189.1106763402242, 182.9360577026625, -156.37906967825654, 57.205740901795636, -206.63236057089648, -105.9696205398657, -137.57596943326894, -175.2381944699069, -225.48174974448767, 170.30102613139826, 201.6317815483011, 6.97218305490847, 170.3724555852632, -87.11421252065375, -162.77979669605054, -18.083980575493953, -11.838652265408264, -93.62065699226928, -194.00908595106077, -74.79920076404414, 126.22465166994456, -175.22768593019669, 195.2857023628304, 151.39852823923593, 31.921203096451734, -68.28243530186032, -106.13508340969561, -43.1673058232575, 51.053270061327275, 132.43142158292116]"
73,"[101.14226651006393, 189.12699130114493, 182.93456282935603, -156.37465670040268, 57.231978800164974, -206.60993654773148, -105.94410714978572, -137.5666302755668, -175.28649261465222, -225.46583930981475, 170.2970126831005, 201.66085636509143, 6.933732494417804, 170.34286850882324, -87.12970587239224, -162.73064164960078, -18.036969654337838, -11.858024696713102, -93.52088987481127, -194.01426063828265, -74.80629132282138, 126.23316430548856, -175.24562867425846, 195.30184809063093, 151.3757837879356, 31.902490257296304, -68.27972117492384, -106.09327855437141, -43.162249505723416, 50.981147204930224, 132.3659863112107]"
74,"[101.15806250346796, 189.189329146746, 182.95744780859434, -156.3784353033539, 57.32159933341635, -206.61041435977964, -105.96833021880735, -137.5141049798325, -175.29552635327008, -225.44410153959643, 170.2651722187784, 201.65192930511233, 6.921177645786813, 170.35294464203713, -87.1664975829504, -162.75566322533555, -18.06220059489506, -11.870006100117067, -93.4796595518259, -194.02836621606826, -74.76000436595328, 126.30138921272118, -175.2953632544506, 195.3019270171697, 151.4225454951238, 31.90306587310505, -68.31470879609373, -106.1268378762355, -43.24738023901685, 50.93686114358637, 132.331043697541]"
75,"[101.1636623948542, 189.24036024766855, 182.93951807081848, -156.37383781091802, 57.29304460683283, -206.58497872687911, -106.01687106080136, -137.55659266811875, -175.34041678507975, -225.44109866973633, 170.3123182486633, 201.66542404067474, 6.924738748983998, 170.34628241634744, -87.2263558338768, -162.72577033652976, -18.10990067094322, -11.849638465259815, -93.459707242506, -194.06050412246094, -74.72515381009313, 126.30646174773122, -175.3107922927556, 195.36064466799192, 151.46997814886979, 31.962360175002186, -68.36257786883982, -106.16396067005513, -43.27886060344617, 50.86055420550924, 132.36008591989787]"
76,"[101.16502265185309, 189.30635754580481, 182.93665113134762, -156.36512398376493, 57.32611343051555, -206.60681828017508, -106.04344665275828, -137.52334434219904, -175.299207475634, -225.46318093506687, 170.30492588198456, 201.67561914439852, 6.8919919119743085, 170.34464128531883, -87.27412174969805, -162.6920704785161, -18.16392466015207, -11.89148091771878, -93.48059780269965, -194.1370805921949, -74.69945766046618, 126.36799352850471, -175.2921458781865, 195.38839586317047, 151.51107136637722, 32.038647817149524, -68.43617304073508, -106.15023573795393, -43.31671671480804, 50.82227196296996, 132.4143026378173]"
77,"[101.19146327244255, 189.31158888457819, 182.91956760345636, -156.37163469808593, 57.297357488203076, -206.62633746978975, -106.0748712352619, -137.52214442154173, -175.3079665442811, -225.47079820762795, 170.32108510272008, 201.68701142227133, 6.8753081588775515, 170.3646689252879, -87.31674646924344, -162.65223300277546, -18.20174640296917, -11.93487721693635, -93.45939193446034, -194.18634281099003, -74.6847719722305, 126.38156875242495, -175.3718226316852, 195.44069532920915, 151.5454830186521, 32.122528966248424, -68.4691957079535, -106.16670267161234, -43.39692368933517, 50.810061963554475, 132.50094520934934]"
78,"[101.22873593038574, 189.28978737478252, 182.9573900986892, -156.41096335444752, 57.29384311641346, -206.67734158495995, -106.10169843808343, -137.5042419459756, -175.29953157929887, -225.4898801454658, 170.34296443853327, 201.7326324893395, 6.922741455820933, 170.33109559881274, -87.36941523038773, -162.62250835741432, -18.24337825138457, -11.939241725997725, -93.4912212602409, -194.1921107291166, -74.66339251728654, 126.43110507977866, -175.31521288701416, 195.51718138902393, 151.53265413841035, 32.17510702027674, -68.51779603608773, -106.12023564519436, -43.40587189424619, 50.83003176258568, 132.60098832002467]"
79,"[101.28116784535794, 189.31024919810295, 182.9042030675164, -156.39839404188893, 57.265881618404, -206.66151684626982, -106.18506620483691, -137.52732986342124, -175.3059972809727, -225.50486416636318, 170.31971902216816, 201.74154165984487, 6.897878375797994, 170.30291374483676, -87.37333903830756, -162.6463728379756, -18.242996220263187, -11.951394478516846, -93.5279773440473, -194.18564070920286, -74.64502656089608, 126.43276738151161, -175.30574247664885, 195.53712851820632, 151.51382728509327, 32.22007300041501, -68.5811374274832, -106.14066505999534, -43.4461203411043, 50.8468658215855, 132.64941529277974]"
80,"[101.25877153802125, 189.27690484146976, 182.93039364459096, -156.400059970559, 57.28794325279492, -206.6891003488268, -106.2108651278387, -137.5264704687462, -175.2806182005843, -225.52750648058566, 170.3717362894258, 201.73029833339388, 6.900823339855776, 170.31528574369727, -87.41963542209223, -162.63548253709922, -18.259272653580467, -11.924404299757278, -93.52091093129187, -194.16848354788516, -74.64398470036, 126.45263586154286, -175.29357377569596, 195.57794324861806, 151.45875766997796, 32.226548140569705, -68.57554650037625, -106.13169335775393, -43.4350048716828, 50.887185333426544, 132.73668362871695]"
81,"[101.27606003681697, 189.24522829353626, 182.883392039916, -156.4288798476328, 57.258134740706595, -206.71435879702148, -106.2295817115631, -137.54409993856262, -175.26321857289258, -225.55250480711675, 170.3491692075647, 201.76090086385295, 6.951294298660294, 170.30591500572322, -87.42255005867179, -162.62763686795677, -18.2390750713939, -11.900237483857488, -93.5782450614594, -194.0861627797558, -74.6383787898686, 126.4543953834501, -175.28361757999323, 195.57560540904814, 151.43149499715486, 32.20659210179332, -68.53142219694473, -106.13357870496878, -43.41323022795769, 50.91809646361311, 132.7876620414334]"
82,"[101.23753813566464, 189.1961015617475, 182.8735876375422, -156.42568955024885, 57.24376315014276, -206.73688469494286, -106.23417480069594, -137.54744605735596, -175.242806013839, -225.57798547849782, 170.3589237687229, 201.80601304171, 6.952116008498912, 170.29314363708215, -87.4095425810008, -162.638991498508, -18.167094605979152, -11.861546285136612, -93.61076119466534, -194.02983267596025, -74.65716630180447, 126.45986094865972, -175.26549243987313, 195.55249111600423, 151.4261493449996, 32.169944067890796, -68.51726375405306, -106.14820043325207, -43.39264196433392, 50.983958427049416, 132.79314689813282]"
83,"[101.22400529047877, 189.19129910651338, 182.85694264360706, -156.4051776921798, 57.20649759928804, -206.69904446257794, -106.24574601708653, -137.5438773577639, -175.2394077028936, -225.57029112348192, 170.33870717376738, 201.7991395847326, 6.987721067428147, 170.31456482159993, -87.40701210465127, -162.63242124356964, -18.155498471512892, -11.85047744559521, -93.62421185162421, -194.03153735675542, -74.67297453897459, 126.42661137041546, -175.2572467787246, 195.496669865741, 151.44026819201832, 32.11809972976765, -68.48166148198345, -106.13501150462179, -43.387809047687036, 51.02980405939231, 132.79737292754524]"
84,"[101.20197178062202, 189.15932537611465, 182.87438829972118, -156.42348114901483, 57.207864850293646, -206.6819407123771, -106.22757678669143, -137.53693001401302, -175.2238395487851, -225.5787665589139, 170.33021530860407, 201.7962028862194, 6.982842644395426, 170.28558319052289, -87.3570487075792, -162.66412985282497, -18.140426256169313, -11.865631348360509, -93.64537157548178, -194.02779153596478, -74.67427286734447, 126.40560095985273, -175.2144230502, 195.45870491798945, 151.46159827289924, 32.07398522501537, -68.43108106410529, -106.13313326244314, -43.35495743108685, 50.99933001345495, 132.76060358980658]"
85,"[101.18689962851292, 189.13031613810423, 182.84612723248853, -156.43236508718024, 57.196455512604196, -206.6790499500415, -106.22137494193987, -137.54697561444476, -175.21316255277733, -225.55948129635706, 170.32526910187255, 201.79134022777194, 6.984984452428016, 170.32980685993385, -87.34066649648994, -162.67892858526207, -18.134236137967562, -11.857775856500737, -93.64098661438867, -194.02911481238579, -74.69904819588636, 126.37467763281856, -175.22652324176352, 195.39554035550321, 151.4938679664775, 32.02647866294248, -68.37984990298071, -106.1156726901929, -43.3403196911355, 51.02606044552489, 132.71912331672067]"
86,"[101.1698599156255, 189.12296131195927, 182.8764597693571, -156.40837124920984, 57.186676217296, -206.673364207051, -106.1799186496018, -137.5565215779984, -175.20665499900133, -225.51872385945154, 170.32797635821387, 201.79362967570336, 7.0103656624287325, 170.30632575634343, -87.30075339590854, -162.7128037931213, -18.118876290543696, -11.864969810138923, -93.64077121875044, -194.07234073621578, -74.71676364095676, 126.36970416845091, -175.1928709675513, 195.37679733669935, 151.5193933298004, 32.00184429324398, -68.34716084641929, -106.12899783178673, -43.28812133699844, 51.024765313450295, 132.70310420254384]"
87,"[101.17812412494715, 189.10721198828873, 182.8595239853424, -156.42392269845686, 57.166429099927626, -206.64605316592662, -106.17119480395714, -137.56379217506355, -175.22746044676802, -225.50969996137135, 170.30715538223697, 201.77767129897887, 7.0051883035057685, 170.33074094937876, -87.26371002488844, -162.6888123674249, -18.119422619086173, -11.896133124729587, -93.60435459579608, -194.11318195591232, -74.7263058058063, 126.33982570184823, -175.20441669980363, 195.38171964691526, 151.52665629359066, 32.00041112113696, -68.3129120879994, -106.12992012544987, -43.282246462915516, 51.00475676933748, 132.64256475102394]"
88,"[101.17938855670056, 189.1036985172217, 182.86793796377225, -156.40907054762647, 57.1820918561192, -206.6653988239789, -106.14578878711842, -137.56860378187497, -175.20350099383705, -225.48103082799895, 170.33344054919826, 201.76011786690947, 6.996072280318707, 170.3470865189918, -87.2423778480451, -162.6956874446696, -18.13409522007929, -11.88354351816946, -93.56264601558988, -194.1651798719367, -74.7688667440861, 126.28968653523852, -175.19594177041, 195.38033941033922, 151.51342286554183, 32.03254121485203, -68.3296562578168, -106.12746401805984, -43.239546178554875, 50.983811896550876, 132.58863820693392]"
89,"[101.18737596341906, 189.11301214018965, 182.89283173776496, -156.39936283988774, 57.196676703652955, -206.63212386562736, -106.09845457575565, -137.55140474509886, -175.2026008383881, -225.4775776249259, 170.32277331915066, 201.7513308713448, 6.985016555841433, 170.35700502354916, -87.23154541903205, -162.71750901461985, -18.161349777759725, -11.880269545280477, -93.53206587007992, -194.1594717758304, -74.7790923400365, 126.28399684127757, -175.2069483897955, 195.40512629951266, 151.47746493717997, 32.05950926740906, -68.383724823573, -106.14710541276354, -43.21642925311326, 50.946440112803515, 132.570478217672]"
90,"[101.21240473928654, 189.13027564859306, 182.89000716629192, -156.3857916941107, 57.2083414066643, -206.6255454764119, -106.0861845883353, -137.5599010498806, -175.21938716384736, -225.4931987347007, 170.31222627070287, 201.72991425928302, 7.002831540239924, 170.35327644990747, -87.21021419572213, -162.72384162363323, -18.16511913550727, -11.89457610583269, -93.54874653936832, -194.15105267447387, -74.76365590776359, 126.2785381012072, -175.21933971461553, 195.4580072777233, 151.4421584375423, 32.09579116201769, -68.41714604267531, -106.13113364679856, -43.22801830661364, 50.90255683930729, 132.5279285899417]"
91,"[101.23272230965009, 189.11856145597656, 182.89478469855896, -156.3916925686885, 57.20996479186891, -206.63080523857442, -106.08788170200779, -137.57480135681845, -175.23573154305853, -225.47569188784942, 170.30639236761047, 201.7156738962733, 6.9814192942274005, 170.34872456259674, -87.21635880942748, -162.7123621564887, -18.19230490046209, -11.898901162799305, -93.51725719700318, -194.13255752872357, -74.7633029261036, 126.27426572688427, -175.24241618155182, 195.4780361345073, 151.44013629190397, 32.13600174746436, -68.42636643579954, -106.13910657352032, -43.206248031135644, 50.90368712644061, 132.52874011695326]"
92,"[101.23440278365948, 189.14538929976666, 182.91642635619903, -156.38245788693231, 57.21736652869596, -206.64485431298732, -106.10653263572885, -137.55420107279164, -175.23354001058146, -225.495808701928, 170.31083617368313, 201.71485485399103, 6.964912372564832, 170.323611314366, -87.19243630537323, -162.71020640388926, -18.206146239632993, -11.893119621271708, -93.52242530254821, -194.10615680726048, -74.75235607010524, 126.27341332698269, -175.24550150394202, 195.5023167914366, 151.4354805531364, 32.15259664174966, -68.4602551782433, -106.14309016871886, -43.22318785457856, 50.89516093178041, 132.5153605722741]"
