,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
0,-85.0,58.0,6.0,-17.0,-35.0,-15.0,-120.0,85.0,154.0,-12.0,-45.0,129.0,64.0,-41.0,143.0,-47.0,37.0,-164.0,-1.0,101.0,-106.0,36.0,43.0,-74.0,166.0,-158.0,122.0,62.0,-93.0,139.0,34.0,2.0,39.0,-17.0,103.0,-32.0,35.0,18.0,54.0,92.0,-73.0,19.0,44.0,-45.0,-156.0,34.0,-162.0,21.0,-109.0,-20.0,-107.0,3.0,-107.0,-15.0,151.0,-72.0,-8.0,-3.0,166.0,-116.0,-38.0,169.0,-52.0
1,-85.0,58.0,6.0,-17.0,-35.0,-15.0,-120.0,85.0,154.0,-12.0,-45.0,129.0,64.0,-41.0,143.0,-47.0,37.0,-164.0,-1.0,101.0,-106.0,36.0,43.0,-74.0,166.0,-158.0,122.0,62.0,-93.0,139.0,34.0,2.0,39.0,-17.0,103.0,-32.0,35.0,18.0,54.0,92.0,-73.0,19.0,44.0,-45.0,-156.0,34.0,-162.0,21.0,-109.0,-20.0,-107.0,3.0,-107.0,-15.0,151.0,-72.0,-8.0,-3.0,166.0,-116.0,-38.0,169.0,-52.0
2,-58.081981376213264,31.06656954585122,-20.902449263639276,9.801757236770847,-8.053297767487805,11.76923877072256,-93.19708476494816,57.89667140274557,127.08184576174962,14.958762605481304,-18.053264794533554,102.02297802916999,37.02755848973464,-14.001371128608419,116.29211618361839,-19.97045297909171,10.042907666856031,-137.05227519450395,-27.874198187373807,74.16432200757157,-79.02200276250507,9.191130785887864,16.297001571949817,-47.1870566826457,139.08971064028216,-131.15023214563354,95.15508660316078,35.07021386572776,-66.13989915899612,112.3448502130581,7.052853044639065,-24.6548584028824,12.194611202086456,9.722307649293409,76.05557512118305,-5.179805435165047,8.124780484455446,-8.835734367354892,26.932518880305174,64.91386356705384,-46.114951914831664,-7.753514545116101,17.264306625184226,-18.131233940678946,-128.99054794091194,7.06146176571762,-135.1062474087183,-5.994108655590928,-81.87509375563295,6.764696237927467,-80.07940394937154,-23.737127391631557,-80.08934034601953,12.060846131733435,124.09461733246803,-45.083106910067194,-34.92301435336252,-29.832685148338992,139.1789212400305,-89.26914916361827,-11.171077595492026,142.0769354773758,-25.002024915249475
3,-43.43111562302423,17.37654422935809,-32.007861871623064,22.801958014668365,5.564564706173677,24.61764817468581,-78.48854606217091,43.41357549720984,110.58205013541718,24.272057818270085,-4.353828553650295,86.89221421380441,22.65054710876992,0.1963468192992508,100.44615402764326,-6.026281209134538,-3.3762682760802605,-119.24067608006497,-30.33189299535181,59.09540448164453,-64.5885361496878,-5.250513834085034,2.151510607054746,-32.55699812163896,121.81050775314583,-114.85195009972531,80.1468363112086,21.086280162928055,-51.592786741675084,96.89360983451746,-6.597775686084738,-26.247287077314333,-1.3752485848163545,20.158486888396368,61.28645732149678,8.404012883146606,-5.081216487137752,-21.80677465254169,12.793158801653384,50.260474530245425,-31.598632793166914,-19.899540383182803,2.9006357102522458,-3.9808539016234974,-112.56564264240868,-7.550563376752997,-119.32884787141239,-19.52717039007465,-67.23466815492571,20.013963294561606,-65.3363899761911,-36.132186502092495,-65.38722842671235,16.938923019784244,107.81517881662145,-30.816958732691504,-38.87779763098233,-40.14023159961883,120.04926364553458,-74.51813090414902,3.0054719448160228,122.80235344567802,-10.928864216426184
4,-33.87017377498483,8.048594312912542,-37.41013792647726,31.004638807951373,14.678289420305724,31.94445549784757,-67.40358836549522,32.906612903291055,97.70794901092465,28.573959449678227,3.9911378066613707,75.95030376563331,12.124127297396868,8.232775938037108,88.78107992021046,2.7469280855159823,-12.141815881294256,-105.789678242531,-27.138613816131997,49.269988704779664,-54.552180234655815,-14.406554559120053,-7.2376307000036775,-22.253020879077525,107.73682754593457,-102.66683621922706,69.45078600452624,11.766857874059134,-40.847885263551056,85.73473837878987,-15.240565930829,-21.624503918354808,-10.212854128753122,26.179714546944076,50.69038852789663,17.077659678937117,-14.312120687097625,-29.037189877758735,3.154980402811006,40.00672295374458,-22.18787578500713,-27.206070134112224,-6.91603255234547,5.389575548132832,-100.09988659792853,-17.056653142154538,-107.30870398547219,-28.033011612987806,-56.57884276444933,27.506294682959464,-54.71837805742083,-43.06705322850329,-55.740896834472125,17.157669986586107,96.16616769586068,-20.511697436134803,-36.02182838278513,-43.83223645713413,103.32797801448842,-64.11805738927663,12.30070634956008,106.78150568131673,-1.5659700482510388
5,-25.569913073931602,0.30575882732901505,-40.797991197570894,36.09188058625503,21.5029984470482,36.4666518522778,-59.29010062660666,24.972527785853508,87.52245575840539,28.94312648594964,10.099718536229439,66.6749966953571,4.6920268980965005,14.943132257770301,79.47029963957445,10.125640080247166,-18.357463020316153,-92.47645778172362,-22.840173859990784,40.9582783558148,-46.109553293781055,-21.335557809456525,-14.154755102691695,-15.148586356742811,95.34579773463987,-93.46254984311177,61.13970593480509,4.302169846224437,-32.14900468890667,76.54849224152062,-21.964118958350994,-16.00238051763057,-16.54163174793714,29.652818847952588,41.98028302202208,22.895416187166198,-20.845162426048027,-34.279729869773654,-4.615589511416005,32.29669779661627,-14.98343936667073,-32.25396228122218,-13.94317400493874,11.762399454263033,-90.15031969099296,-24.04550914694248,-98.68494859597298,-34.310805540794156,-48.73929625931319,32.45958530924084,-47.56622759856201,-45.60453881038853,-47.58762671146907,14.84934307399595,85.58434880140791,-13.064604569288747,-31.263055336443507,-44.92419008943665,88.94219489318215,-56.10433851392469,19.45178825264297,93.4669492829927,5.491458108968516
6,-19.07603374688368,-4.544310168598926,-42.845803322585326,40.29143114294222,26.757314025732306,39.69317499133768,-52.41832548860626,19.635225899029905,78.14770914278715,29.134833242791636,15.133185627071953,59.757506407275386,-1.2768661709720988,19.900919305727747,70.67546656488543,16.054010584137885,-23.41381484103828,-82.27705136916502,-17.893113668501833,34.68514504552617,-39.51639122645766,-26.85509039562458,-19.99537027571013,-7.557571465088188,84.4693983107391,-85.17109070403724,53.50084947015468,-1.937693370464288,-25.226166531278167,69.81666734250304,-26.60533172486589,-9.506097117943117,-21.066945115503593,31.685879154901087,34.54528778955512,27.197092804886715,-25.947110826756486,-37.368936878769254,-10.547453953617591,25.869362416616653,-9.446349759783125,-36.13954193529599,-19.358978192759395,17.419115874878926,-81.73325079851706,-29.59111418267068,-89.8205777243577,-38.39983487107326,-42.26410683740657,35.24881777340246,-41.327874243054254,-47.32229655644249,-41.130641090329945,11.842332958083258,76.93713518608105,-6.992598716254506,-25.26533228514376,-44.24307908105046,75.70314527487182,-49.43356089416048,24.801729041338163,79.00961211112347,11.24716120109506
7,-13.215752535881705,-9.032063889391267,-43.175305281467566,42.896839205742054,30.23718155856504,40.908124376175195,-46.26111940065731,14.430400932449771,69.51514468797185,28.066985019855437,19.313534896487113,52.29270870298538,-6.140466033443531,24.261631596039237,65.12733654836924,19.314976242457647,-26.805925775667255,-71.3834505092238,-12.83229749011168,29.06717563631527,-34.77083149143199,-31.723510358081114,-23.68760474720287,-3.593673520505263,73.33019871003204,-78.02336243651303,47.58535386498792,-7.37108031465084,-20.843340310364823,62.64109801876377,-31.101520460334783,-3.377561147617085,-24.963445443971807,32.73147877620129,29.84639797331414,31.03474869256926,-29.851927057146582,-39.55076777023993,-15.882133582905297,20.09025393032205,-4.785816108065362,-38.68632711183433,-23.896455201857705,21.352152962086734,-74.05781075153854,-34.36129978933846,-83.2246035528518,-42.8943525298485,-36.014275372771806,37.21896423986813,-35.915831181869194,-47.714479263998655,-35.11781656209946,8.794664728633986,69.60487846869853,-2.1934809932735533,-18.68905942291318,-42.492024063124475,63.81222330447844,-44.21577144402593,28.37947810819732,66.2013977227308,14.806490468894978
8,-8.98057739069317,-13.37194906503727,-43.25715389045991,44.31425475747515,34.218880531891244,41.27221105324172,-40.86839476111264,9.79010247800963,62.015896434102956,25.726397744650633,22.317030633521213,46.753761356548,-10.49756155055799,27.408875133743692,58.54800626683425,23.28026334503916,-29.786190697090802,-61.52873987672588,-7.732665193325398,24.324747867747263,-30.246882981929787,-35.55167272910957,-27.737681235837954,1.071765541098145,63.21839363936343,-71.5275840815334,42.693372663596946,-12.387383334377176,-14.728307241456378,56.14373555480418,-33.480809505812275,2.0906814752157663,-27.792040569756452,32.81363638547854,24.06407439918192,33.51683813844252,-33.08984103082099,-42.74824468473634,-19.28934134086508,15.18367463182777,-0.8298222228830667,-40.34898086547414,-28.062815409526195,25.02641887846937,-66.9870801785346,-37.9743196030376,-77.40497011029322,-45.97297204556398,-31.72929155405167,38.8330615843821,-30.721159516101054,-47.20393061913217,-31.33868761263271,5.643807586548309,61.96458650933218,2.5373659698988718,-11.621196793906345,-39.48635132400644,51.081035984333525,-39.41585459031914,32.46132713811714,54.02932968058438,17.93422345343751
9,-5.749949242009819,-15.403607120677123,-42.43847377715115,46.35373432748297,36.6056126608143,41.32390016499375,-35.920959236745134,4.70312832755458,55.201899086011494,23.541237029920616,24.734528193088167,40.88115957872924,-13.028524595457853,30.286678496647127,52.80857506562157,27.03951233477663,-32.356996279699416,-51.677304459327246,-2.8452358997607927,21.08903758706016,-24.98336744477811,-38.370014786371854,-29.92433864205492,5.350510277395898,54.32258996606723,-64.82186731161944,35.92760464209839,-14.946210930810508,-10.923593947457164,51.78031703885259,-35.28371225236798,6.271036776391789,-30.377863970627672,32.295249650764084,20.647602233497338,34.955622677771075,-35.58167930317842,-43.40517632887808,-22.928427407314558,12.078063539488511,3.033457085167626,-42.33258764199402,-31.995290071703366,27.166889335933746,-60.84627598381897,-40.3163029979476,-71.59688616033203,-48.03303797683809,-27.679583871810948,39.00816418999915,-26.818667149004085,-46.14137504954754,-27.28475123464733,2.6482130423235866,55.810051268019535,5.385361067384551,-4.696014610549725,-36.29603470142968,38.696681690049886,-34.23562902721032,35.40994206880488,43.832843244628634,21.27049938250174
