,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126
0,-113.0,51.0,-131.0,64.0,123.0,-130.0,148.0,-9.0,30.0,-22.0,-16.0,-52.0,-138.0,-23.0,49.0,83.0,-17.0,-174.0,168.0,-170.0,-137.0,-146.0,-21.0,27.0,34.0,120.0,-150.0,-150.0,-32.0,111.0,-32.0,12.0,-126.0,99.0,-153.0,-76.0,48.0,18.0,-82.0,67.0,-83.0,3.0,101.0,-50.0,-126.0,-139.0,17.0,7.0,-85.0,-155.0,155.0,81.0,167.0,-157.0,-176.0,19.0,-162.0,-128.0,155.0,9.0,-88.0,107.0,48.0,143.0,10.0,77.0,-71.0,85.0,-120.0,-89.0,-5.0,63.0,-113.0,-14.0,115.0,-153.0,-59.0,33.0,-71.0,35.0,84.0,21.0,130.0,31.0,122.0,62.0,56.0,116.0,11.0,-17.0,-157.0,62.0,164.0,-124.0,-97.0,149.0,-174.0,-45.0,-137.0,-38.0,40.0,130.0,169.0,-21.0,-147.0,115.0,-144.0,-155.0,163.0,93.0,78.0,37.0,17.0,36.0,59.0,-28.0,-11.0,22.0,-75.0,95.0,141.0,81.0,-4.0,45.0,41.0,-148.0,48.0
1,-113.0,51.0,-131.0,64.0,123.0,-130.0,148.0,-9.0,30.0,-22.0,-16.0,-52.0,-138.0,-23.0,49.0,83.0,-17.0,-174.0,168.0,-170.0,-137.0,-146.0,-21.0,27.0,34.0,120.0,-150.0,-150.0,-32.0,111.0,-32.0,12.0,-126.0,99.0,-153.0,-76.0,48.0,18.0,-82.0,67.0,-83.0,3.0,101.0,-50.0,-126.0,-139.0,17.0,7.0,-85.0,-155.0,155.0,81.0,167.0,-157.0,-176.0,19.0,-162.0,-128.0,155.0,9.0,-88.0,107.0,48.0,143.0,10.0,77.0,-71.0,85.0,-120.0,-89.0,-5.0,63.0,-113.0,-14.0,115.0,-153.0,-59.0,33.0,-71.0,35.0,84.0,21.0,130.0,31.0,122.0,62.0,56.0,116.0,11.0,-17.0,-157.0,62.0,164.0,-124.0,-97.0,149.0,-174.0,-45.0,-137.0,-38.0,40.0,130.0,169.0,-21.0,-147.0,115.0,-144.0,-155.0,163.0,93.0,78.0,37.0,17.0,36.0,59.0,-28.0,-11.0,22.0,-75.0,95.0,141.0,81.0,-4.0,45.0,41.0,-148.0,48.0
2,-87.78087864504928,25.689056638746862,-105.59214634584663,38.7031527246887,97.592138491002,-104.77632147805794,122.85692016036327,16.24046810512727,55.45781101038631,3.2920229090458584,9.330228456534822,-26.708098654601212,-163.40064689651146,2.3197099575988496,23.723175743749533,57.68753438502626,8.36341351287816,-199.5500945723955,142.7380282621223,-195.2598826231231,-111.72459093691879,-171.1681232431504,4.055588590356614,52.36065261872396,59.33084486258291,94.70046492145973,-175.25094776134486,-175.46821796995155,-6.693473928447094,85.77722832087895,-6.872553838853289,37.29627402584248,-100.58728397437883,73.6843016720871,-178.3583775463353,-50.652870178936865,22.765066127750625,43.21499030436172,-56.56990716127912,41.65097427005441,-57.84519993269352,28.25391348127973,75.63248246061923,-24.71150832894411,-100.7814062405829,-113.69128567172801,42.18482990639094,32.47284911138392,-59.60431259282526,-180.32456933861556,129.657571961746,55.747515618785755,141.73369963081726,-182.2128526144569,-201.31174229627382,44.33529874712454,-187.253598917777,-102.66155540381307,129.642361881687,34.36288127592567,-62.73032381779625,81.64185258338905,22.611564645672363,117.63477169763198,35.34309379693855,51.75903696259331,-45.84522708296008,59.83123966439113,-94.68363486253438,-63.57590353461862,20.349888177020432,37.78823333719641,-87.69791876988585,11.142735554142682,89.67166065225359,-178.49758069954183,-33.67253218970825,58.22058467001378,-45.6903820217555,60.228129789427655,58.64923141126183,46.270315982841225,104.51796086388651,56.31902424812091,96.70969240475164,36.778504603141535,30.701818905953903,90.60222655531965,36.34362846421806,8.50818454068115,-182.40937979863142,36.67755356523754,138.76644459374359,-98.68883411332068,-71.66396129989138,123.5019057622907,-199.25442976267956,-19.482274171903132,-162.2533073733208,-12.619773656118198,65.34825305454902,104.90332183686442,143.78362437671655,4.184921665515098,-172.26526163355368,89.8204242481717,-169.40773033149668,-180.3579702166453,137.6945622895519,67.73098233361988,52.794447410807784,62.31813448922042,42.19894110443802,61.294056872080304,33.78776957768201,-2.7234643653159267,14.271407305821707,47.22467909401841,-49.77593162232307,69.55226001862582,115.75799261069297,55.603067658719226,21.45520417826048,19.80904882426518,66.37736944733322,-173.36501237102777,22.65089537714441
3,-74.75015373413173,13.629426859995945,-92.49179072476741,26.146015346292423,84.83570241467719,-91.52176747285176,109.8536624309782,28.816197242170553,67.92100741183557,16.011751804762135,21.80485918476598,-14.059554933990896,-177.24610525330618,14.762055229017577,11.648505995875183,44.776405819973554,21.061764061771377,-212.128525726748,129.88436356431242,-208.2525952906296,-93.52450525175044,-184.68604238674237,17.12351874060422,65.08874100500506,71.80862716927933,82.0053234156209,-188.09796498853058,-188.5234260203924,6.106597788422235,72.8811847344581,5.924935533912958,49.96515994410929,-87.86393738688696,61.0039157267089,-191.27488972968862,-38.21216681222863,10.616705897099855,55.856239771003565,-43.85783549747925,29.114116241795358,-44.89570785904642,40.98604398702551,63.00943688825779,-11.992776014043592,-87.80726246582606,-97.89641372465377,54.972836701026715,44.90867607626523,-47.104976263277166,-193.25132525720196,116.94507570793414,43.27379944567737,129.00864591569422,-195.22132818426985,-214.11046309972076,57.06085989635383,-199.91188089640121,-89.96906203602342,116.90504085473526,47.18032594107412,-49.766910715786324,68.98180323794733,10.976653482276966,105.0194916187235,48.10738783419638,39.1212998760378,-32.69747569405037,46.98211511241479,-81.70632668265105,-50.804160461210124,33.156287852224,25.11520877538816,-74.78642830660672,24.0889381710165,77.02335640340362,-191.25186555683052,-20.940920847660934,70.67702280978249,-33.10652335559066,72.67569171344036,45.84735689476242,58.956628881397364,91.88610681062406,68.6627039301143,84.00787093553407,24.29909717292989,18.668887816319952,77.97069395438177,49.0105643328398,21.19738059684765,-195.3585837328825,24.24794596113003,125.94827102804534,-85.76805242482683,-59.195980125846894,110.91251244329536,-212.42833305038423,-7.150672230660277,-180.0403686248618,0.15606377517170245,77.82985424825617,92.19855592017083,131.01258473546864,16.917651772854335,-185.31067210491062,77.0000535197142,-182.48985322089032,-193.03046346030192,124.70592353283811,55.03977441598346,40.19437049859964,74.75892410320407,55.04006980864736,73.9639624317172,21.380624572666463,10.063214816183034,26.97282719301362,59.83023062733791,-36.80502930950574,57.15110473455203,102.8743033329187,43.02743332968773,33.93124886221191,9.048399916290819,78.17335616052502,-186.3881925335562,11.16391073231545
4,-66.24238782501607,5.586028243409437,-83.4575779325564,17.8780599126151,76.72018470539228,-82.49815128045209,101.65900883889987,37.333771926416134,76.00450726065321,24.557481222784425,30.656049359914114,-5.75031120278193,-187.3758451936795,23.484233827286936,3.8490283793664304,36.90296501754748,29.521520996560668,-221.0345265531563,121.5170872855351,-216.74954355803763,-78.25351474825753,-193.32003531333447,25.294816868696962,73.22008596637798,80.33469092816699,73.51276195784234,-197.15082926663095,-197.2050654506581,14.652619332850364,64.73201619053953,14.412678592870336,58.584478071389384,-78.84575267954085,52.95683052723481,-199.7920959648773,-29.576540162439457,2.1731311680632857,64.2385543674713,-35.43372487048656,20.459277931002404,-36.408200206926246,49.50198212390122,54.696201184363716,-3.727709580986641,-78.96725239316345,-86.34817392746695,63.369438949057816,53.208324297494634,-38.328190423627525,-201.92797207908202,108.57057881319568,34.71955846403275,120.34328915063452,-203.57463460752155,-222.76672348946641,65.39895624190868,-208.5826312750089,-80.62531174472689,108.39098957808031,55.309278872872476,-41.44553256238126,60.42017061588115,3.6733719064711536,96.29878400801164,56.39922317932163,30.52144272159672,-24.48257075876537,38.79650811197689,-73.4382016648423,-42.540788996809056,41.33927449848116,16.81696384543376,-66.34035430302328,32.18223819953294,68.28264662651192,-199.60059566037648,-12.716477016650273,78.76654289658518,-24.37728530539261,80.76718402727163,37.74902769099567,67.36584868007589,83.45579003034683,77.50665153451595,75.49687132474611,16.047571928433612,10.429435242300165,69.48268427046456,57.31279192562742,29.43045402448545,-203.5360461084585,15.731226294941571,117.28485404031751,-76.83543538260203,-50.18561019600094,102.46839994327065,-220.7064866699256,1.544022163844133,-194.41445617363124,8.292786645283023,86.12329812659047,83.18509695757058,122.44724965231715,25.509948966846657,-194.47893564855053,68.26018050988469,-191.24586171090266,-202.14117747791988,116.36684397716331,46.51914821827802,31.811900505393368,82.63370617541605,63.05963955837257,82.40599281567941,13.282433395557916,18.5249309973997,35.61814617436635,68.65651505251816,-28.26136247040484,48.372982180723106,94.74856932147641,34.39484241470005,42.41116042031123,2.8659226455333524,85.93477481696064,-195.45369584748798,4.172635624712299
5,-59.91984305321906,-0.21864226591252134,-77.02792832624857,11.330937004241349,69.94216455088934,-75.71838061695712,95.1961141876092,43.395756817219635,82.33610097910412,30.987888116708312,36.811131054638054,0.8996565236984466,-195.03151220859576,29.648253673456203,-1.6167057895997061,30.64151028549471,35.52808089562414,-227.14090558001237,115.05861977733522,-223.17552645564132,-64.93428798254628,-200.35187744793316,31.88633005649602,79.43238306608023,86.16999094855939,67.4696700666568,-203.66115974096599,-203.58390703679746,20.922890602676617,58.469821500370145,20.321792193927898,64.58540162330213,-72.55915714195439,46.44363305156262,-206.84491984493826,-23.37436611044368,-3.4003149695829435,70.63157470240549,-28.89115366157509,14.472422797665047,-30.13154649612889,55.39602585272102,48.19882673948223,2.838768835594834,-72.26471377824078,-77.13523961637965,69.59069757234741,59.52779562527391,-32.328481351281,-208.61063797828547,102.0810858867563,28.31517607879882,113.83410769696457,-210.08196060393016,-229.09569137972693,71.26494664630229,-215.25012979416692,-74.08600447488564,102.20789771179034,61.715794789087866,-34.918834134138336,54.13412247960843,-1.8112134877104324,89.94373076634854,62.24664041022366,24.078098381508596,-17.867888352150352,32.51789928439397,-66.66794794373328,-36.087197529154565,47.97416276214867,10.77315805540887,-60.02876151576229,38.43614998058305,62.58442550175755,-206.59390212559282,-6.141057118643026,84.90274550358204,-18.324292265834856,86.88368320476623,31.313547826936137,73.37054553843998,76.8770712154186,83.55142905035763,69.08210928300599,10.06402787914972,5.0617818342017316,63.58837423037355,63.49627790670084,35.960411501691766,-210.2265630328138,9.560959596854758,110.86729315527116,-70.15225290935047,-43.99220454548635,96.14518684332072,-226.97491427397335,8.109984122041269,-205.97851481051663,14.538562836179644,91.72039044578949,77.30588611298231,116.19743966893233,31.728996752884285,-200.78760509845785,62.49338531952817,-197.53314736924472,-208.43093092714045,109.67604999164945,39.98000039035203,25.498561776849883,88.79146876639794,69.22353983191357,88.18778850890233,7.151380806417315,24.732596081898023,41.657156518157436,74.5675623273232,-22.136692683585743,42.32378544869429,88.2982152766715,28.190685475124212,48.849431561448604,-1.1836395249368366,91.49887613816259,-202.13509751664128,-1.033514744971363
6,-54.70153561831246,-4.953055726964145,-71.13281185573874,6.614689686324311,65.15542299363901,-70.34308889482236,89.80127301155284,48.72698800635519,87.09596673515239,35.90332082898364,41.727928128533996,5.97089465108354,-201.12907803659232,34.60841971537148,-6.328340358385169,25.523385043851597,40.44702741418793,-232.0827079003733,109.94172390275325,-228.1204235204258,-52.80763835824517,-205.05292170276127,36.991435235656475,84.50462541215441,90.87154477874883,62.02696229945864,-209.5065388172523,-208.9659070142865,26.181543864255197,53.572317695218494,26.0247329419379,69.41681219875542,-67.2125578906221,41.423280103994784,-211.84445793240923,-17.92226111665387,-8.383343378090814,75.29780103840889,-23.610260915447263,9.931913694505127,-24.869247303677504,60.44738778897833,43.47171736593458,8.175080600818731,-67.29732605329897,-69.57202152921484,74.08920518222752,64.50676963918724,-26.77044326690035,-213.45080112235226,96.71814490089575,23.25404742078203,108.81750635776184,-215.41812437609286,-234.11491414318525,76.41230906050222,-220.31566937438234,-68.38063291871238,97.21200162941152,66.59624969414548,-29.87521473107634,49.119915586464714,-5.461121072384479,84.89462662183824,67.46710363118328,19.322442963714998,-13.041883761965195,27.52568997540896,-61.11147105546614,-31.36641785977121,53.02773808688264,5.922168335409694,-54.63754996700766,43.894655862321734,57.379603750727924,-211.7535558646175,-1.230201495328643,89.48317915117343,-13.37946873564946,91.43570582174095,26.329058596279033,78.30042787401584,71.96067218656161,88.38098787935226,64.603512233129,4.950146067881015,-0.3373253341011804,58.07945160726855,68.8224638050875,40.974685201292615,-215.14465748363716,4.804996394556156,105.93122889050942,-65.31204327496866,-38.75486574112438,91.26943850881472,-231.95350831420788,13.267683030236775,-217.6334321808024,19.798266688555557,96.65950538978402,72.34356038224954,110.88452555895594,36.56006151252259,-206.43021728099075,57.16270911432209,-203.4449390374412,-213.7544476074089,105.19368156907638,35.43785397402671,20.650777689476804,93.55813192258701,74.36366501488914,93.03145101388633,2.798595137583348,29.803978551909132,46.67070889918238,79.85448016666018,-17.1256642511809,37.563328478577866,83.35354947711778,23.50357450882398,53.41828951147864,-4.3754079738342995,95.21699847439271,-207.61894235046552,-4.82172677886841
7,-50.56850798039558,-8.155449840296136,-66.29606492841106,2.7339091392663804,61.502955590674986,-65.93675509624781,86.37007037263936,52.45764668824214,91.29810795576167,40.03838040519028,45.7371759469659,9.908744519752311,-206.99778708524371,38.81278284016464,-9.79850789408718,21.272177154080687,45.01199659183576,-236.3660489519034,105.77929196733476,-232.10012720686584,-41.321989490513104,-209.60271528753725,40.62735834223124,88.68967813896391,95.0970432386519,57.92709307551977,-213.58708744210108,-213.54771548970723,29.754450192304063,49.2341554667951,29.976242064099516,73.60978207118839,-62.902335384607426,37.09223050319131,-215.9130140936636,-13.632277387464725,-11.526153782527544,79.48778395191364,-19.702571374648123,5.436928551452809,-20.859685082043598,64.74056768394365,39.13783837123256,12.01119934458012,-62.36158041120177,-62.72473423097888,78.34895941032113,68.75910747083503,-22.58317924359598,-218.0243898433826,93.07545489629196,19.51064348817505,104.44846791525688,-219.85546029710494,-238.58327477428847,80.45880063212587,-224.54714549960948,-64.00472242951469,93.08331769989644,70.76944049999281,-25.916512145940615,45.69353846839523,-8.155808325964415,81.11193371250135,71.39274162750266,15.60386728426613,-9.098637333014771,23.45273587830335,-57.25205168232545,-26.677200100215437,56.87852899750862,2.0222352999890987,-50.60563708471216,47.77931226872224,53.20005036682911,-215.88061705346246,2.631531318008804,92.97526227116137,-8.548460150202082,95.73738023053079,22.346379255653503,82.23935543837652,68.19208021309974,92.45118945176554,60.167872169074414,0.5960112208362744,-3.3100530519486426,54.71400916787581,72.5515725936546,44.841822328609894,-219.04026266107203,0.8102718972714698,101.73892435430642,-60.56207555092306,-34.75427021695892,86.98651158164928,-236.69551721323143,16.742389655117606,-227.10556908983733,23.681210270255335,100.45724816621893,68.08132084569537,107.23980537723172,40.71130700206335,-211.144336323664,52.748551067087305,-207.6553906883077,-218.29374035408688,100.48993112489438,31.793471965610486,16.334439363014475,96.94036623862178,78.87643161211685,96.8661140148822,-1.0853093869434147,33.836794910196836,50.96567182156576,83.80162570825323,-12.575417247810762,33.80580459766119,78.98561791760436,19.070290487906007,57.88020272927466,-6.806345198184154,98.72615713937157,-211.55249161893698,-7.519547242174376
8,-46.62633756178438,-11.401245062097011,-62.71759840281338,-0.7042653855220067,57.978748745646755,-61.68514959995741,82.34810904771184,55.81389674431264,93.87836380305438,43.541388177678826,49.4995607939979,13.582940314407793,-211.81299162144597,42.645993988749595,-12.831753819345437,18.285798756351753,48.445379679680585,-239.88376221291287,102.17522154454895,-236.0702364365984,-29.49510799571057,-213.525611269625,44.310168848554,91.69392065324408,98.40009403227843,55.243614199198674,-217.62201787291468,-217.1772460075479,33.30323422895002,45.486545041872404,33.714352980864106,77.06654886097236,-59.15772999043533,33.89022686092025,-219.73717725397682,-10.144100252595365,-14.431910074050876,83.27656855918076,-15.75306562320705,2.1419665586913794,-17.053863026836495,67.80404719525772,35.90705254487125,15.725504850487283,-58.623300640305075,-56.55567976663107,82.21992363106155,71.89223676568942,-18.835393816182574,-221.46974370334306,89.27014890269903,16.110870839572613,101.42608742013834,-223.22380034432854,-241.6020664902211,84.11033743082893,-228.08489437758885,-60.097145553350146,89.44876590185633,74.48472383219627,-22.16117018576105,41.63736547556272,-10.87696470350258,77.35729916872938,74.9074683616302,12.158936962262572,-5.040511614292782,20.167521477726652,-53.23877295243997,-23.258491840202552,60.265647056634606,-1.3555191182517916,-46.89821899969951,51.12974286553683,49.0780539971355,-219.30799153928353,6.8064505798377155,96.67631286501162,-5.1015308461266216,98.6126927640012,19.120547786631832,86.08156319077072,64.68532489966134,95.84026538540738,56.73994588605933,-2.124869340071726,-6.935674815112996,50.4613468714645,76.22866504369597,48.29034303909782,-223.28105320259624,-2.8562579705766638,98.38910273288276,-57.398589625071395,-31.028026415662893,83.53409733224039,-240.1709456854771,20.242036701727173,-236.25418144907655,27.23042272175519,103.61600734197185,64.67124846139667,102.8029573115848,44.211031412972986,-214.4132012128237,49.724414652682725,-212.17619040264663,-222.00113517911237,97.33077666352652,27.472360223502946,13.301680133447519,100.6289608285025,81.96986564429253,99.99213681537788,-4.423651651164704,37.42415935271944,54.06033713242958,86.8070710616313,-9.072175964994585,29.63224085147779,75.66343657003799,15.684426438643513,61.409424837444845,-8.21574537238989,101.7521237266518,-215.96082037635847,-9.7842857922261
9,-43.32659406518388,-13.862367336041515,-58.807074604235,-3.600361094482821,54.521681605097555,-57.93537263012999,79.02635683933562,58.50730166990583,96.73719341882449,46.56825543566097,52.6346783982346,16.925561262236116,-216.61087206384713,45.356726737195245,-15.690554881479684,15.070872216313305,51.215976869991394,-243.08575754443785,99.18934865036869,-239.3351117808512,-18.651602232784185,-216.5163500594647,47.30445838968164,94.78152886348843,100.86704717986818,51.55136038288816,-220.5784679385948,-219.92290762621911,36.152829471965674,42.43537398497281,36.55230846625251,80.21152389110117,-55.67629053319666,30.715671784852148,-223.5508422253148,-6.918669394998972,-17.417615829741266,85.85376011936683,-13.089226644381341,-0.7892971959553563,-14.684918358565852,71.10148520191363,33.080478500735936,18.79038526293786,-55.14141515463025,-49.962529713197924,84.62972377173149,75.207930770552,-15.729696587525709,-224.99698703427651,86.5306297827829,12.685540580881508,98.28930018895281,-226.77804499256075,-244.98829826785874,87.11955248734982,-231.3684977942156,-56.26407547670715,86.10900208957361,77.2660388627387,-19.265456908664632,37.97483959086328,-12.851186359944556,74.14358812703391,77.91869452828824,8.4959299190307,-2.5173039305890086,17.35850285817199,-50.22724666177125,-20.106772335136526,63.480846786755635,-4.18277651293549,-44.12520674721074,54.61511362270639,46.80515466575628,-223.1291890898089,10.073849105492954,99.49338925832375,-2.263918716429032,100.92063300286318,15.91347124970919,88.5194371683369,61.15791188128556,99.21298453212951,53.62230978600438,-5.26263927084085,-8.817519238313125,47.14154149227414,79.24281257790246,51.269117726746586,-226.49477740949098,-5.3200637674756734,95.1303024367148,-53.497630974704094,-27.661408583600178,80.19437989415037,-243.12257462914067,23.86236103815851,-244.8342218149864,30.704187805331102,106.57971101086483,61.36810009818612,100.55146036868564,47.50173405522648,-217.65665585224346,46.51473983947302,-214.74475500078762,-225.33175834698702,94.24268775640483,24.956439726852622,10.286810294576938,103.13552336521458,85.08343902545539,103.38193250927048,-6.996744298642682,40.810079104596,57.37327164529678,89.82203025300566,-5.979891586284921,26.999649592674047,72.39285380526852,12.941874763164492,63.94122231441867,-10.341153823180584,103.6961278412775,-219.2485284473006,-11.807407801224386
