,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Init,144.0,-156.0,-177.0,53.0,4.0,133.0,-68.0,71.0,62.0,-177.0,-99.0,140.0,-167.0,-36.0,-153.0,-91.0,-60.0,-78.0,-76.0,90.0,-155.0,-173.0,-85.0,-70.0,9.0,-20.0,-15.0,166.0,-117.0,-146.0,-151.0,-125.0
Mimic,-48.261532675033315,-37.68402704339701,-98.72442974465109,-25.063315239842563,171.65803815311716,-117.90591632173846,-124.62168076997717,-128.1101848984218,-43.13617184354286,-20.041234860485208,-131.73283894683323,-24.499946242620783,-87.59631932622456,-10.64030708295543,-181.3525378061656,71.63512621726004,38.16090865797767,167.86466855416037,-81.91047866595687,-52.65857390661731,74.80595810681116,293.88571586974354,-36.88458343753552,142.45780191862409,134.1954179925085,155.06882775519708,-150.26292291108956,-16.484426658336538,-18.081138229843294,52.593066822685365,-14.65790025319192,47.40649395671154
